2026-04-06 03:06:06 | BTCUSD | SELL | Entry=68954.04 | SL=15.0 | TP=-30.0 | Result=WIN | Profit=3.21
2026-04-06 03:34:11 | BTCUSD | BUY | Entry=69075.98 | SL=-1.0 | TP=-1.0 | Result=LOSS | Profit=-5.02
2026-04-06 05:21:39 | BTCUSD | BUY | Entry=69839.0 | SL=-1.0 | TP=-1.0 | Result=WIN | Profit=11.56
2026-04-06 09:36:37 | BTCUSD | BUY | Entry=69406.2 | SL=-1.0 | TP=-1.0 | Result=LOSS | Profit=-5.78
2026-04-06 13:12:47 | XAUUSD | BUY | Entry=4693.64 | SL=-1.0 | TP=-1.0 | Result=LOSS | Profit=-39.45
2026-04-06 13:13:52 | XAUUSD | SELL | Entry=4700.08 | SL=-1.0 | TP=-1.0 | Result=WIN | Profit=46.28
2026-04-06 18:00:24 | XAUUSD | SELL | Entry=4650.67 | SL=4655.5 | TP=4640.5 | Result=LOSS | Profit=-8.05
2026-04-06 19:01:08 | BTCUSD | SELL | Entry=68917.18 | SL=69017.21 | TP=68717.21 | Result=WIN | Profit=10.32
2026-04-06 19:52:35 | XAUUSD | SELL | Entry=4653.65 | SL=4658.73 | TP=4643.73 | Result=LOSS | Profit=-5.31
2026-04-06 19:52:53 | XAUUSD | SELL | Entry=4655.57 | SL=4659.95 | TP=4644.95 | Result=LOSS | Profit=-4.48
2026-04-07 01:23:30 | XAUUSD | BUY | Entry=4656.24 | SL=4651.24 | TP=4666.24 | Result=LOSS | Profit=-5.16
2026-04-07 02:03:05 | BTCUSD | SELL | Entry=68708.04 | SL=68808.04 | TP=68508.04 | Result=WIN | Profit=3.37
2026-04-07 03:26:49 | XAUUSD | SELL | Entry=4653.14 | SL=4658.14 | TP=4643.14 | Result=WIN | Profit=12.19
2026-04-07 04:02:18 | XAUUSD | SELL | Entry=4643.66 | SL=4652.39 | TP=4623.829999999999 | Result=LOSS | Profit=-9.14
2026-04-07 09:27:39 | BTCUSD | BUY | Entry=68550.87 | SL=68450.87 | TP=68750.87 | Result=LOSS | Profit=-5.27
2026-04-07 11:10:02 | BTCUSD | SELL | Entry=67823.94 | SL=67923.9 | TP=67623.9 | Result=LOSS | Profit=-5.21
2026-04-07 11:25:53 | BTCUSD | SELL | Entry=68024.06 | SL=68124.18 | TP=67824.18 | Result=LOSS | Profit=-5.18
2026-04-07 14:51:31 | XAUUSD | BUY | Entry=4679.47 | SL=4669.55 | TP=4700.450000000001 | Result=LOSS | Profit=-9.62
2026-04-07 14:52:58 | XAUUSD | BUY | Entry=4677.87 | SL=4666.84 | TP=4700.409999999999 | Result=LOSS | Profit=-11.34
2026-04-08 05:47:19 | BTCUSD | BUY | Entry=70069.79 | SL=69937.59 | TP=70237.59 | Result=LOSS | Profit=-6.69
2026-04-08 06:00:09 | BTCUSD | BUY | Entry=69943.66 | SL=69811.61 | TP=70111.61 | Result=WIN | Profit=8.53
2026-04-08 00:42:17 | XAUUSD | BUY | Entry=4795.96 | SL=4790.96 | TP=4805.96 | Result=WIN | Profit=10.0
2026-04-08 01:32:12 | XAUUSD | BUY | Entry=4807.01 | SL=4797.58 | TP=4822.510000000001 | Result=WIN | Profit=10.28
2026-04-08 01:32:30 | BTCUSD | BUY | Entry=71644.08 | SL=71411.84 | TP=72011.84 | Result=WIN | Profit=1.67
